FGM (A),FGA (A),3PM (A),3PA (A),FTM (A),FTA (A),OREB (A),DREB (A),REB (A),AST (A),STL (A),BLK (A),TO (A),PF (A),PTS (A),FG% (A),3P% (A),FT% (A),FGM (H),FGA (H),3PM (H),3PA (H),FTM (H),FTA (H),OREB (H),DREB (H),REB (H),AST (H),STL (H),BLK (H),TO (H),PF (H),PTS (H),FG% (H),3P% (H),FT% (H),,,,,,,,,,,
25,53,4,8,5,9,8,22,30,11,6,2,15,14,59,0.472,0.5,0.556,28,51,8,20,7,14,2,22,24,8,8,1,11,14,71,0.549,0.4,0.5,,,,,,,,,,,
27,68,9,32,20,27,16,39,55,7,6,1,7,17,83,0.397,0.281,0.741,22,63,13,37,6,14,9,31,40,15,2,2,12,24,63,0.349,0.351,0.429,,,,,,,,,,,
25,49,9,20,14,19,6,27,33,17,5,0,11,16,73,0.51,0.45,0.737,22,53,9,21,14,16,6,22,28,12,6,2,8,18,67,0.415,0.429,0.875,,,,,,,,,,,
39,70,13,25,14,20,3,28,31,16,2,1,13,20,105,0.557,0.52,0.7,38,79,6,19,22,25,14,32,46,9,10,1,11,20,104,0.481,0.316,0.88,,,,,,,,,,,
23,49,9,18,2,4,5,26,31,13,5,3,17,10,57,0.469,0.5,0.5,24,62,7,27,4,8,14,22,36,11,8,1,10,11,59,0.387,0.259,0.5,,,,,,,,,,,
28,45,9,11,15,20,2,28,30,13,6,2,16,21,80,0.622,0.818,0.75,24,59,7,23,6,11,9,19,28,7,4,1,13,19,61,0.407,0.304,0.545,,,,,,,,,,,
24,55,6,19,8,14,12,20,32,13,5,3,6,11,62,0.436,0.316,0.571,19,49,5,15,6,8,10,24,34,10,2,1,12,13,49,0.388,0.333,0.75,,,,,,,,,,,
20,58,6,24,14,16,7,24,31,6,3,1,10,16,60,0.345,0.25,0.875,29,61,12,30,11,15,9,30,39,20,6,1,12,14,81,0.475,0.4,0.733,,,,,,,,,,,
21,52,10,22,16,20,6,34,40,14,1,1,7,10,68,0.404,0.455,0.8,23,63,8,17,5,6,7,28,35,16,3,4,4,13,59,0.365,0.471,0.833,,,,,,,,,,,
16,63,2,20,25,28,14,28,42,7,6,9,10,19,59,0.254,0.1,0.893,20,56,8,22,13,18,10,30,40,9,3,6,12,19,61,0.357,0.364,0.722,,,,,,,,,,,
28,56,16,30,15,17,6,20,26,11,5,1,9,14,87,0.5,0.533,0.882,31,61,8,18,5,8,12,22,34,17,5,2,12,16,75,0.508,0.444,0.625,,,,,,,,,,,
22,46,7,19,13,18,8,25,33,12,3,2,16,17,64,0.478,0.368,0.722,26,55,6,18,12,16,6,18,24,16,9,3,7,18,70,0.473,0.333,0.75,,,,,,,,,,,
22,68,9,22,12,14,22,24,46,11,8,1,24,22,65,0.324,0.409,0.857,27,52,10,24,23,31,5,26,31,19,15,10,13,18,87,0.519,0.417,0.742,,,,,,,,,,,
29,64,9,24,7,14,13,28,41,18,1,2,15,18,74,0.453,0.375,0.5,27,61,5,18,18,21,8,26,34,11,11,5,9,18,77,0.443,0.278,0.857,,,,,,,,,,,
21,55,7,20,17,24,9,24,33,5,3,2,12,20,66,0.382,0.35,0.708,25,52,10,17,12,20,8,30,38,9,6,4,15,21,72,0.481,0.588,0.6,,,,,,,,,,,
27,69,7,22,11,14,12,20,32,3,8,5,10,18,72,0.391,0.318,0.786,30,62,11,24,21,23,13,31,44,12,5,0,15,13,92,0.484,0.458,0.913,,,,,,,,,,,
29,67,8,24,12,16,7,27,34,16,12,3,10,18,78,0.433,0.333,0.75,31,64,8,18,14,22,10,34,44,15,6,2,14,15,84,0.484,0.444,0.636,,,,,,,,,,,
24,60,11,23,13,20,6,32,38,15,2,2,9,26,72,0.4,0.478,0.65,26,67,8,22,17,32,17,31,48,13,3,3,8,19,77,0.388,0.364,0.531,,,,,,,,,,,
24,64,9,18,15,22,10,28,38,10,7,3,6,16,72,0.375,0.5,0.682,24,55,5,18,10,16,9,33,42,11,2,5,12,21,63,0.436,0.278,0.625,,,,,,,,,,,
33,66,12,18,10,17,8,16,24,19,10,0,10,16,88,0.5,0.667,0.588,27,59,5,16,16,20,13,29,42,12,5,0,20,22,75,0.458,0.313,0.8,,,,,,,,,,,
29,62,5,12,13,21,9,26,35,10,9,2,16,27,76,0.468,0.417,0.619,27,56,8,16,25,37,10,29,39,14,9,1,15,18,87,0.482,0.5,0.676,,,,,,,,,,,
23,57,5,17,12,17,10,31,41,13,4,8,17,24,63,0.404,0.294,0.706,26,66,4,15,14,25,14,28,42,10,8,3,9,12,70,0.394,0.267,0.56,,,,,,,,,,,
25,63,5,24,7,11,20,30,50,9,1,2,16,23,62,0.397,0.208,0.636,25,52,8,16,15,26,7,20,27,14,6,2,8,18,73,0.481,0.5,0.577,,,,,,,,,,,
20,59,6,22,14,15,10,20,30,7,8,1,10,14,60,0.339,0.273,0.933,21,52,5,17,16,20,12,26,38,11,1,2,15,11,63,0.404,0.294,0.8,,,,,,,,,,,
26,60,11,31,7,9,2,32,34,14,6,3,11,14,70,0.433,0.355,0.778,26,65,6,18,5,9,7,31,38,12,3,4,11,13,63,0.4,0.333,0.556,,,,,,,,,,,
19,53,6,18,14,18,8,28,36,7,4,3,12,17,58,0.358,0.333,0.778,24,56,3,11,16,23,8,26,34,8,6,4,9,19,67,0.429,0.273,0.696,,,,,,,,,,,
19,57,4,19,22,28,11,25,36,5,2,5,10,21,64,0.333,0.211,0.786,27,52,7,13,19,31,6,29,35,17,3,1,8,23,80,0.519,0.538,0.613,,,,,,,,,,,
27,69,10,33,6,9,13,24,37,12,4,1,10,17,70,0.391,0.303,0.667,27,57,7,14,18,22,3,29,32,12,7,5,11,12,79,0.474,0.5,0.818,,,,,,,,,,,
16,61,6,31,5,9,7,30,37,9,3,2,6,16,43,0.262,0.194,0.556,16,51,10,26,11,15,7,34,41,9,1,2,10,17,53,0.314,0.385,0.733,,,,,,,,,,,
27,67,4,20,9,13,19,29,48,8,3,2,14,14,67,0.403,0.2,0.692,28,66,11,33,17,19,11,24,35,13,8,2,6,18,84,0.424,0.333,0.895,,,,,,,,,,,
20,70,10,26,8,8,21,24,45,9,2,2,5,16,58,0.286,0.385,1,22,49,7,18,15,16,4,29,33,14,2,2,4,10,66,0.449,0.389,0.938,,,,,,,,,,,
21,59,7,23,5,7,4,14,18,11,11,1,9,21,54,0.356,0.304,0.714,21,46,3,10,19,23,11,35,46,8,4,1,23,12,64,0.457,0.3,0.826,,,,,,,,,,,
25,55,6,17,5,10,7,23,30,12,8,1,6,13,61,0.455,0.353,0.5,20,56,5,15,8,12,14,26,40,11,4,2,12,11,53,0.357,0.333,0.667,,,,,,,,,,,
16,45,3,12,14,23,5,32,37,2,5,1,12,18,49,0.356,0.25,0.609,21,53,4,15,5,12,4,30,34,6,3,2,7,19,51,0.396,0.267,0.417,,,,,,,,,,,
20,54,8,20,16,17,7,28,35,10,6,3,8,13,64,0.37,0.4,0.941,21,54,7,15,9,13,7,27,34,12,3,1,10,11,58,0.389,0.467,0.692,,,,,,,,,,,
23,65,7,23,10,15,9,19,28,13,6,0,6,15,63,0.354,0.304,0.667,31,64,5,14,12,12,14,33,47,9,3,4,13,14,79,0.484,0.357,1,,,,,,,,,,,
22,57,3,14,19,25,10,27,37,13,6,1,11,23,66,0.386,0.214,0.76,22,57,7,20,23,32,12,25,37,12,5,4,8,18,74,0.386,0.35,0.719,,,,,,,,,,,
27,58,5,14,11,17,12,34,46,17,4,6,11,17,70,0.466,0.357,0.647,20,72,6,36,7,10,19,23,42,12,6,6,9,15,53,0.278,0.167,0.7,,,,,,,,,,,
20,53,6,21,13,16,9,23,32,16,9,3,9,18,59,0.377,0.286,0.813,23,55,5,24,12,21,16,26,42,14,7,4,12,15,63,0.418,0.208,0.571,,,,,,,,,,,
20,44,5,14,16,19,5,16,21,5,8,0,14,17,61,0.455,0.357,0.842,32,52,14,26,13,20,8,18,26,14,9,0,9,16,91,0.615,0.538,0.65,,,,,,,,,,,
21,56,9,19,23,32,12,29,41,14,8,3,13,14,74,0.375,0.474,0.719,24,59,8,18,12,17,8,27,35,13,7,3,12,25,68,0.407,0.444,0.706,,,,,,,,,,,
30,48,10,17,9,10,3,23,26,22,7,0,19,19,79,0.625,0.588,0.9,30,63,11,27,6,12,11,14,25,23,9,3,12,14,77,0.476,0.407,0.5,,,,,,,,,,,
30,57,6,17,10,11,5,18,23,17,10,3,11,12,76,0.526,0.353,0.909,29,61,6,20,6,13,17,22,39,15,7,0,18,12,70,0.475,0.3,0.462,,,,,,,,,,,
24,56,7,24,13,21,10,31,41,21,3,3,8,14,68,0.429,0.292,0.619,27,62,8,19,5,10,8,25,33,19,6,4,7,16,67,0.435,0.421,0.5,,,,,,,,,,,
23,48,5,15,6,15,7,21,28,20,12,3,9,12,57,0.479,0.333,0.4,18,47,3,10,10,14,10,25,35,9,5,5,16,14,49,0.383,0.3,0.714,,,,,,,,,,,
17,52,10,31,14,17,4,35,39,14,4,2,8,20,58,0.327,0.323,0.824,15,52,7,26,16,23,4,32,36,11,6,2,7,17,53,0.288,0.269,0.696,,,,,,,,,,,
24,59,3,18,14,28,11,25,36,6,7,3,10,22,65,0.407,0.167,0.5,25,60,8,21,16,23,16,30,46,8,5,2,15,20,74,0.417,0.381,0.696,,,,,,,,,,,
24,59,8,22,5,10,6,28,34,19,7,1,7,9,61,0.407,0.364,0.5,26,67,3,13,2,3,9,34,43,14,6,1,7,14,57,0.388,0.231,0.667,,,,,,,,,,,
21,49,1,13,19,24,7,25,32,10,10,7,7,10,62,0.429,0.077,0.792,23,59,5,14,4,8,14,24,38,13,5,2,12,15,55,0.39,0.357,0.5,,,,,,,,,,,
22,53,3,8,9,14,12,21,33,14,5,1,11,13,56,0.415,0.375,0.643,21,47,6,19,10,12,7,20,27,11,3,2,13,16,58,0.447,0.316,0.833,,,,,,,,,,,
