,24,52,6,17,13,19,10,16,26,9,4,2,15,15,67,,,46.2%,35.3%,68.4%,,,34,60,14,25,10,12,8,18,26,21,10,2,10,18,92,,,56.7%,56.0%,83.3%,
,23,45,7,22,15,20,9,27,36,10,6,0,15,14,68,,,51.1%,31.8%,75.0%,,,22,52,6,22,9,14,7,18,25,8,7,0,15,18,59,,,42.3%,27.3%,64.3%,
,25,61,9,23,12,18,14,18,32,15,3,3,11,17,71,,,41.0%,39.1%,66.7%,,,33,64,5,18,14,18,15,25,40,21,4,4,10,20,85,,,51.6%,27.8%,77.8%,
,41,76,18,40,9,20,16,23,39,21,9,3,18,26,109,,,53.9%,45.0%,45.0%,,,37,73,10,24,28,36,18,22,40,22,9,4,16,18,112,,,50.7%,41.7%,77.8%,
,24,58,5,21,9,13,7,30,37,13,4,7,14,13,62,,,41.4%,23.8%,69.2%,,,25,65,8,25,8,9,11,29,40,11,7,2,12,18,66,,,38.5%,32.0%,88.9%,
,26,71,13,38,11,13,10,25,35,16,4,0,10,16,76,,,36.6%,34.2%,84.6%,,,35,67,5,18,13,15,8,37,45,14,7,4,13,14,88,,,52.2%,27.8%,86.7%,
,24,52,5,18,20,26,9,32,41,17,4,7,13,17,73,,,46.2%,27.8%,76.9%,,,23,66,5,20,14,20,13,22,35,14,8,8,7,18,65,,,34.8%,25.0%,70.0%,
,20,55,8,25,20,32,10,20,30,15,9,0,14,18,68,,,36.4%,32.0%,62.5%,,,35,62,13,23,13,16,7,31,38,28,8,2,13,19,96,,,56.5%,56.5%,81.3%,
,31,53,7,17,6,11,5,17,22,12,4,2,11,19,75,,,58.5%,41.2%,54.5%,,,28,60,8,23,19,23,12,18,30,18,10,3,6,15,83,,,46.7%,34.8%,82.6%,
,28,64,6,17,16,23,9,19,28,12,5,3,10,16,78,,,43.8%,35.3%,69.6%,,,31,65,10,28,18,23,16,29,45,20,6,6,12,19,90,,,47.7%,35.7%,78.3%,
,26,63,15,35,10,11,9,23,32,18,6,0,10,16,77,,,41.3%,42.9%,90.9%,,,29,61,11,27,13,17,8,24,32,17,4,5,9,13,82,,,47.5%,40.7%,76.5%,
,35,66,8,22,11,15,11,41,52,18,4,6,7,15,89,,,53.0%,36.4%,73.3%,,,13,55,5,21,15,23,5,21,26,6,3,0,9,13,46,,,23.6%,23.8%,65.2%,
,33,66,8,24,2,4,11,26,37,14,10,4,7,17,76,,,50.0%,33.3%,50.0%,,,17,51,6,16,11,17,11,22,33,10,2,0,17,13,51,,,33.3%,37.5%,64.7%,
,28,57,10,22,11,15,4,34,38,16,2,1,12,19,77,,,49.1%,45.5%,73.3%,,,25,63,9,30,16,25,10,28,38,8,3,2,8,17,75,,,39.7%,30.0%,64.0%,
,20,54,6,19,12,12,9,14,23,8,9,4,9,19,58,,,37.0%,31.6%,100.0%,,,26,55,3,10,16,21,16,24,40,12,7,2,11,14,71,,,47.3%,30.0%,76.2%,
,26,63,6,13,7,13,10,28,38,15,2,4,7,20,65,,,41.3%,46.2%,53.8%,,,25,57,8,21,12,18,9,28,37,16,1,1,10,15,70,,,43.9%,38.1%,66.7%,
,32,50,12,21,17,21,6,32,38,22,2,4,14,11,93,,,64.0%,57.1%,81.0%,,,28,61,11,30,9,14,3,15,18,18,8,1,4,14,76,,,45.9%,36.7%,64.3%,
,19,57,5,19,14,19,12,21,33,12,4,4,8,21,57,,,33.3%,26.3%,73.7%,,,21,46,9,15,22,26,7,29,36,11,5,2,13,18,73,,,45.7%,60.0%,84.6%,
,25,53,8,21,3,8,4,19,23,12,1,1,14,11,61,,,47.2%,38.1%,37.5%,,,41,71,8,20,10,13,13,28,41,15,10,3,4,11,100,,,57.7%,40.0%,76.9%,
,24,50,10,20,23,32,11,28,39,16,7,2,16,22,81,,,48.0%,50.0%,71.9%,,,23,57,3,23,19,23,7,18,25,14,10,5,11,22,68,,,40.4%,13.0%,82.6%,
,31,52,12,27,15,17,8,26,34,13,6,3,10,13,89,,,59.6%,44.4%,88.2%,,,25,54,13,23,6,9,5,13,18,14,5,2,10,15,69,,,46.3%,56.5%,66.7%,
,16,51,7,25,22,24,5,20,25,8,6,1,8,12,61,,,31.4%,28.0%,91.7%,,,33,66,7,20,5,8,15,32,47,14,3,4,11,17,78,,,50.0%,35.0%,62.5%,
,24,58,8,28,15,22,6,21,27,10,6,2,12,17,71,,,41.4%,28.6%,68.2%,,,34,71,11,28,15,16,17,31,48,19,8,4,14,18,94,,,47.9%,39.3%,93.8%,
,24,59,8,25,7,8,10,26,36,16,6,2,12,10,63,,,40.7%,32.0%,87.5%,,,28,63,5,15,3,4,9,25,34,19,6,2,8,7,64,,,44.4%,33.3%,75.0%,
,25,58,10,32,7,9,4,21,25,13,10,1,14,16,67,,,43.1%,31.3%,77.8%,,,34,64,6,20,16,21,13,30,43,14,11,3,13,11,90,,,53.1%,30.0%,76.2%,
,28,61,12,30,9,17,9,27,36,15,6,1,8,16,77,,,45.9%,40.0%,52.9%,,,28,60,9,25,14,18,9,28,37,16,4,2,9,14,79,,,46.7%,36.0%,77.8%,
,19,55,4,19,3,4,9,25,34,11,4,1,12,10,45,,,34.5%,21.1%,75.0%,,,29,58,7,27,3,4,5,26,31,16,7,6,6,10,68,,,50.0%,25.9%,75.0%,
,16,61,3,20,2,9,7,23,30,6,9,3,11,10,37,,,26.2%,15.0%,22.2%,,,23,60,8,25,4,5,14,36,50,15,4,4,18,14,58,,,38.3%,32.0%,80.0%,
,28,57,7,22,11,12,6,30,36,14,12,3,23,24,74,,,49.1%,31.8%,91.7%,,,27,66,8,27,21,32,14,20,34,7,12,1,14,15,83,,,40.9%,29.6%,65.6%,
