14.0,0.03600000000000003,0.07,-4.0,8.0,-2.0,2.0,-7.0,0.0,-11.0
-4.0,-0.066,0.09499999999999997,0.0,-3.0,-10.0,-2.0,-6.0,-7.0,1.0
12.0,0.04200000000000004,0.11399999999999999,0.0,10.0,-9.0,-1.0,-8.0,-8.0,-8.0
8.0,-0.01799999999999996,0.132,0.0,6.0,-8.0,-1.0,-11.0,0.0,-5.0
28.0,0.08499999999999996,0.11599999999999999,-19.0,8.0,-10.0,-1.0,-4.0,-2.0,-8.0
8.0,-0.012999999999999956,-0.10499999999999998,8.0,8.0,-5.0,6.0,-7.0,-13.0,-2.0
12.0,-0.0030000000000000027,0.04199999999999998,-5.0,17.0,-1.0,0.0,-8.0,-10.0,-8.0
5.0,-0.0050000000000000044,0.067,2.0,0.0,-9.0,3.0,-8.0,-7.0,-10.0
43.0,0.050000000000000044,0.244,-12.0,26.0,-6.0,5.0,-9.0,8.0,6.0
2.0,0.01100000000000001,0.08299999999999996,-14.0,0.0,-13.0,0.0,-10.0,-8.0,-7.0
13.0,-0.007000000000000006,0.10999999999999999,4.0,17.0,-1.0,1.0,-9.0,2.0,0.0
5.0,-0.04099999999999998,0.067,-1.0,-1.0,-8.0,2.0,-11.0,-1.0,-4.0
17.0,0.16000000000000003,0.020999999999999963,3.0,20.0,-11.0,-2.0,-14.0,-4.0,-12.0
16.0,-0.022999999999999965,0.14699999999999996,3.0,3.0,-10.0,-1.0,-10.0,3.0,0.0
39.0,0.09699999999999998,0.008000000000000007,2.0,18.0,-4.0,8.0,-4.0,4.0,-5.0
20.0,0.11599999999999999,0.01699999999999996,6.0,16.0,-9.0,2.0,-8.0,-9.0,0.0
17.0,0.020000000000000018,0.16599999999999998,-19.0,22.0,-2.0,1.0,-10.0,10.0,-11.0
23.0,-0.0010000000000000009,0.066,-7.0,21.0,0.0,-2.0,-6.0,-7.0,-4.0
-1.0,-0.07300000000000001,0.035999999999999976,3.0,2.0,-7.0,0.0,-10.0,-3.0,-1.0
23.0,0.051000000000000045,0.04899999999999999,7.0,18.0,-4.0,-1.0,-4.0,-6.0,-1.0
2.0,-0.012999999999999956,0.020999999999999963,-3.0,1.0,-8.0,3.0,-10.0,-4.0,-13.0
23.0,0.020000000000000018,0.135,-1.0,-3.0,-12.0,6.0,-6.0,8.0,7.0
21.0,-0.09699999999999998,0.21799999999999997,-5.0,20.0,-3.0,-6.0,-7.0,14.0,9.0
-9.0,-0.10899999999999999,-0.031000000000000028,-14.0,5.0,-7.0,-1.0,-7.0,-7.0,-12.0
-4.0,-0.10699999999999998,0.07300000000000001,-17.0,6.0,-1.0,3.0,-6.0,-3.0,-8.0
-5.0,0.08399999999999996,0.10299999999999998,-10.0,-1.0,-7.0,-19.0,0.0,-4.0,-25.0
-6.0,0.07000000000000006,0.01799999999999996,-16.0,3.0,-5.0,-8.0,-6.0,-10.0,-10.0
