FGM (PP),FGA (PP),3PM (PP),3PA (PP),FTM (PP),FTA (PP),OREB (PP),DREB (PP),REB (PP),AST (PP),STL (PP),BLK (PP),TO (PP),PF (PP),PTS (PP),FG% (PP),3P% (PP),FT% (PP),H1 (PP),H2 (PP),FGM (O),FGA (O),3PM (O),3PA (O),FTM (O),FTA (O),OREB (O),DREB (O),REB (O),AST (O),STL (O),BLK (O),TO (O),PF (O),PTS (O),FG% (O),3P% (O),FT% (O),H1 (O),H2 (O),H/A
24,61,5,17,8,12,12,21,33,15,5,3,8,11,61,0.393,0.294,0.667,35,26,26,56,9,15,13,14,9,27,36,14,4,4,8,12,74,0.464,0.6,0.929,34,40,A
25,62,9,24,22,26,13,27,40,16,4,8,8,15,81,0.403,0.375,0.846,40,41,24,62,9,26,19,24,13,25,38,12,3,9,9,19,76,0.387,0.346,0.792,33,43,H
25,55,5,21,9,11,8,27,35,12,5,2,9,10,64,0.455,0.238,0.818,30,34,21,61,8,28,7,8,14,22,36,16,2,1,10,13,57,0.344,0.286,0.875,27,30,H
21,57,5,18,2,2,13,25,38,9,4,3,15,16,49,0.368,0.278,1,23,26,22,52,3,16,8,13,10,23,33,9,8,6,9,11,55,0.423,0.188,0.615,31,24,A
24,57,5,14,12,20,12,28,40,8,4,2,15,16,65,0.421,0.357,0.6,29,36,21,55,6,16,11,19,8,27,35,10,7,2,11,19,59,0.382,0.375,0.579,32,27,A
22,59,7,22,12,16,14,23,37,17,8,6,15,10,63,0.373,0.318,0.75,26,37,20,59,8,20,5,8,16,26,42,14,8,2,20,17,53,0.339,0.4,0.625,18,35,H
19,56,4,24,12,18,11,16,27,13,7,4,6,12,54,0.339,0.167,0.667,23,31,28,56,4,10,9,12,14,31,45,17,2,4,10,15,69,0.5,0.4,0.75,30,39,H
22,65,6,21,7,11,11,23,34,12,8,3,9,11,57,0.338,0.286,0.636,40,17,23,53,4,15,10,13,10,35,45,13,7,2,18,16,60,0.434,0.267,0.769,29,31,H
26,66,12,33,17,24,12,28,40,19,6,6,10,24,81,0.394,0.364,0.708,47,34,28,60,2,12,21,36,12,32,44,15,6,4,10,20,79,0.467,0.167,0.583,45,34,H
29,58,6,25,23,35,14,24,38,19,11,4,9,17,87,0.5,0.24,0.657,50,37,25,63,6,21,8,19,20,27,47,12,4,3,17,21,64,0.397,0.286,0.421,28,36,H
19,52,7,25,13,17,8,22,30,7,7,2,13,21,58,0.365,0.28,0.765,26,32,26,52,12,18,13,19,8,28,36,9,5,6,12,16,77,0.5,0.667,0.684,35,42,H
24,49,9,21,20,27,5,38,43,12,9,8,14,18,77,0.49,0.429,0.741,31,46,17,60,6,16,5,21,16,23,39,9,9,2,18,21,45,0.283,0.375,0.238,16,29,H
23,46,5,18,9,18,10,20,30,11,6,5,11,11,60,0.5,0.278,0.5,23,37,22,51,7,22,3,7,10,17,27,16,6,1,11,15,54,0.431,0.318,0.429,13,41,H
25,55,8,25,14,21,14,19,33,12,7,4,15,11,72,0.455,0.32,0.667,28,44,32,52,13,22,4,7,3,19,22,20,7,2,14,21,81,0.615,0.591,0.571,41,40,A
24,56,5,12,7,9,12,21,33,11,5,3,9,13,60,0.429,0.417,0.778,35,25,23,53,3,14,9,17,15,22,37,9,3,1,13,12,58,0.434,0.214,0.529,28,30,H
