FGM (PP),FGA (PP),3PM (PP),3PA (PP),FTM (PP),FTA (PP),OREB (PP),DREB (PP),REB (PP),AST (PP),STL (PP),BLK (PP),TO (PP),PF (PP),PTS (PP),FG% (PP),3P% (PP),FT% (PP),H1 (PP),H2 (PP),FGM (O),FGA (O),3PM (O),3PA (O),FTM (O),FTA (O),OREB (O),DREB (O),REB (O),AST (O),STL (O),BLK (O),TO (O),PF (O),PTS (O),FG% (O),3P% (O),FT% (O),H1 (O),H2 (O),H/A
34,60,14,25,10,12,8,18,26,21,10,2,10,18,92,0.567,0.56,0.833,53,39,24,52,6,17,13,19,10,16,26,9,4,2,15,15,67,0.462,0.353,0.684,37,30,H
23,45,7,22,15,20,9,27,36,10,6,0,15,14,68,0.511,0.318,0.75,26,42,22,52,6,22,9,14,7,18,25,8,7,0,15,18,59,0.423,0.273,0.643,31,28,A
33,64,5,18,14,18,15,25,40,21,4,4,10,20,85,0.516,0.278,0.778,44,41,25,61,9,23,12,18,14,18,32,15,3,3,11,17,71,0.41,0.391,0.667,30,41,H
37,73,10,24,28,36,18,22,40,22,9,4,16,18,112,0.507,0.417,0.778,41,44,41,76,18,40,9,20,16,23,39,21,9,3,18,26,109,0.539,0.45,0.45,43,42,H
24,58,5,21,9,13,7,30,37,13,4,7,14,13,62,0.414,0.238,0.692,27,35,25,65,8,25,8,9,11,29,40,11,7,2,12,18,66,0.385,0.32,0.889,37,29,A
35,67,5,18,13,15,8,37,45,14,7,4,13,14,88,0.522,0.278,0.867,45,43,26,71,13,38,11,13,10,25,35,16,4,0,10,16,76,0.366,0.342,0.846,38,38,H
24,52,5,18,20,26,9,32,41,17,4,7,13,17,73,0.462,0.278,0.769,29,44,23,66,5,20,14,20,13,22,35,14,8,8,7,18,65,0.348,0.25,0.7,30,35,A
35,62,13,23,13,16,7,31,38,28,8,2,13,19,96,0.565,0.565,0.813,49,47,20,55,8,25,20,32,10,20,30,15,9,0,14,18,68,0.364,0.32,0.625,32,38,H
28,60,8,23,19,23,12,18,30,18,10,3,6,15,83,0.467,0.348,0.826,31,52,31,53,7,17,6,11,5,17,22,12,4,2,11,19,75,0.585,0.412,0.545,43,32,H
31,65,10,28,18,23,16,29,45,20,6,6,12,19,90,0.477,0.357,0.783,46,44,28,64,6,17,16,23,9,19,28,12,5,3,10,16,78,0.438,0.353,0.696,40,38,H
29,61,11,27,13,17,8,24,32,17,4,5,9,13,82,0.475,0.407,0.765,46,36,26,63,15,35,10,11,9,23,32,18,6,0,10,16,77,0.413,0.429,0.909,37,40,H
35,66,8,22,11,15,11,41,52,18,4,6,7,15,89,0.53,0.364,0.733,40,49,13,55,5,21,15,23,5,21,26,6,3,0,9,13,46,0.236,0.238,0.652,22,24,A
33,66,8,24,2,4,11,26,37,14,10,4,7,17,76,0.5,0.333,0.5,34,42,17,51,6,16,11,17,11,22,33,10,2,0,17,13,51,0.333,0.375,0.647,28,23,A
28,57,10,22,11,15,4,34,38,16,2,1,12,19,77,0.491,0.455,0.733,34,43,25,63,9,30,16,25,10,28,38,8,3,2,8,17,75,0.397,0.3,0.64,38,37,A
26,55,3,10,16,21,16,24,40,12,7,2,11,14,71,0.473,0.3,0.762,38,33,20,54,6,19,12,12,9,14,23,8,9,4,9,19,58,0.37,0.316,1,28,30,H
25,57,8,21,12,18,9,28,37,16,1,1,10,15,70,0.439,0.381,0.667,32,38,26,63,6,13,7,13,10,28,38,15,2,4,7,20,65,0.413,0.462,0.538,31,34,H
32,50,12,21,17,21,6,32,38,22,2,4,14,11,93,0.64,0.571,0.81,42,51,28,61,11,30,9,14,3,15,18,18,8,1,4,14,76,0.459,0.367,0.643,34,42,A
21,46,9,15,22,26,7,29,36,11,5,2,13,18,73,0.457,0.6,0.846,41,32,19,57,5,19,14,19,12,21,33,12,4,4,8,21,57,0.333,0.263,0.737,27,30,H
